rating,name,review,date,location,usage_duration
1,CritchCorp Retail &amp; Wholesale,"Installed this app as was invited to open a TikTok Shop. I was excited to try and went through the setup. Got stuck at ""Locations"" I have 2 locations that are not standard locations, one is an email address and the other is another app. The TikTok app will not let me complete the setup, as these two locations do not have the ""State"" field completed. They don't have address fields that can be filled in. Submitted a ticket to TikTok, to find out it was the wrong department. Submitted a ticket to the other department, to find out I need to submit a ticket to the other department that I tried first. The ""Integrations and App Department"" told me it was a Shopify issue, not theirs. Went to the App to try to get support, guess what, it takes me back to the TikTok Integrations Department support, who will not fix their app. They wrote the app, not Shopify, so they need to fix it. Can't get my products in to TikTok to even try that out. Still, apparently I can take out their extremely expensive ads if I want, that apparently is working (from the same app). For $30 per day, I can advertise on there. Not sure where it will send them to as the TikTok shop is not working. I am sure it probably works for some, just don't get an issue and need to speak to the support, because no one wants to help. I will not be using them if their support is like that. Furthermore, I have no faith or trust in them. Sad really as I was looking forward to using the shop. I notice they don't bother with replying to feedback either, so they are probably not trying to improve anything.","May 7, 2024",United Kingdom,About 1 month using the app
1,Novara London,worst app ever don't use it!!!!!!!,"September 21, 2025",Netherlands,5 days using the app
1,RamenHeaven,Issues with Trackind Code Sync and Sync from Orders.. my Tickets are since 5 Days open and no solution.,"July 1, 2025",Germany,Over 1 year using the app
1,City Crawl Adventures,"While it's easy to install, the product syncing doesn't work at all. Shopify and TikTok are pointing fingers are each other, meanwhile no one can fix the issue. Very frustrating.","November 18, 2024",United States,13 days using the app
1,NEFERZIZI,"I would like to give your poor instruction A VERY BIG ZERO. Verifying My ID took days to be completed. it gave me anxiety and I was very stressed out. It has nothing to do with my intelligence as much as it has everything to do with your POOR INSTRUCTIONS. You should be clear about verification should happen with both a mobile and laptop, not one or another. Please try to give CLEAR INSTRUCTIONS, PREFERABLY STEP BY STEP INSTUCTIONS to avoid anxiety which is unnecessary. Thank you.","July 1, 2024",United Kingdom,9 days using the app
1,"L &amp; M Kee, LLC",Be very careful of violating any Tiktok policies. They will shut your shop and withhold all the funds that they owe you regardless of whether you are in the right. Their Appeals process is unfair.,"August 25, 2024",United States,Over 3 years using the app
1,38-3D,"I've sold on a number of platforms and while they all have their quirks and annoyances, it usually takes me a good few years to hate the platform and a fair while longer to consider removing it entirely from our sales funnel.

I installed Tiktok as a sales channel but a few days ago i already HATE this platform with a passion, there are so may things wrong with it, from not accepting tracking numbers, to the app completely not working, I've already removed over half our stock from this app despite only adding it a few days ago. i have little doubt the other half will follow and so too this app in a day or two.

Awful App, Rubbish Service, Waste of time, money and effort save yourself dont install this app","October 21, 2024",United Kingdom,8 days using the app
1,Mettalusso,"sync does nork. most of the products are not approved to sell in the Shop because of reasons that do not apply. for instance states a product does not have country of origin listed in Shopify- but it definitely does. Each product disapproved has its own incorrect issues and in total there are a multitude of incorrect reasons for disapprovals AND CANNOT EDIT ISSUES IN THR SHOPIFY APP. there is not a clear path to fix items that do not sync in the TikTok Shop either. Of course, if I wanted to place a ADVERTISING though, in Marketplace all products are perfectly in sync, approved and there are not issues. Have spent way too much time on this already.","November 16, 2023",United States,About 3 years using the app
1,FreeShippingAllOrders.com,"Just awful. Sync does not work. Seller support is non-existent, just bots that ask for screenshots and error messages even when they are not relevant.","January 17, 2024",United States,Over 2 years using the app
1,NIKITA,Horrendous. Nothing works. Nothing syncs. No support. So buggy and convoluted. Really disappointed and frustrated.,"April 29, 2024",United Kingdom,Over 2 years using the app
